s3,s4,s8,s11,s12,s13,s14,s20,s21,s2,s7,s9,s15,s17,s6
0.984496124,0.186046512,0.240310078,1,0.434108527,1,0.620155039,0.178294574,0.069767442,0,0,0.15503876,0.860465116,0,0
0.99009901,1,0.198019802,1,0.747524752,1,0.648514851,0.356435644,0.094059406,0.313861386,0,0.475247525,0.955445545,0.034653465,0.04
0.992,1,0.368,1,0.376,1,0.608,0,0.408,0.076,0,0.104,1,0,0.01
1,1,1,1,0.688405797,1,0.789855072,0.304347826,0.536231884,0.439130435,0,0.492753623,1,0.246376812,0.02
1,0.689873418,0.8,1,0.734177215,1,1,0.373417722,0.310126582,0.092405063,0.689873418,0.044303797,0.310126582,0,0.05
0.951219512,1,1,1,1,0.87804878,1,0.756097561,0.609756098,0,0.2,0.463414634,0.853658537,0,0.01
1,1,0.949044586,0.598726115,0.72611465,0.855421687,1,0.503184713,0.458598726,0.088535032,0.2,0.222929936,0.464968153,0,0.02
1,0.712328767,0.678082192,0.691780822,0.678082192,1,1,0.383561644,0,0.206849315,0.2,0.01369863,0.308219178,0,0.02
0.827338129,0.690647482,0.496402878,1,0.474820144,0.7,0.661870504,0.129496403,0,0,0.1,0,0.496402878,0,0
1,0.842105263,0.748987854,0.668016194,0.704453441,1,1,0.453441296,0.259109312,0,0.2,0.012145749,0.425101215,0,0.03
0.994285714,0.874285714,0.748571429,0.742857143,0.765714286,1,0.851428571,0.382857143,0.074285714,0,0.2,0,0.257142857,0,0.01
1,0.765151515,0.765151515,0.765151515,0.765151515,1,0.765151515,0.234848485,0,0,0.2,0,0.234848485,0,0.01
0.904761905,1,1,0.738095238,0.928571429,0.855421687,1,0.904761905,0.476190476,0,0.2,0,0.5,0,0.05
1,0.788732394,0.830985915,1,0.422535211,0.7,1,0,0.38028169,0,0.422535211,0,0.577464789,0,0
1,1,1,1,1,0,1,0.427184466,0,0.049514563,0,0,0,0,0.02
0.989071038,0.371584699,0.37704918,1,0.857923497,0.950819672,0.912568306,0.092896175,0.120218579,0.295628415,0.131147541,0.557377049,0.983606557,0,0.05
1,0.46969697,0.8,1,0.696969697,0.7,0.659090909,0.46969697,0.060606061,0.124242424,0.46969697,0.053030303,0.53030303,0,0.03
1,0.875675676,1,0.632432432,0.648648649,1,1,0.308108108,0.572972973,0.008108108,0.616216216,0.140540541,0.52972973,0.118918919,0.05
1,1,1,0.94047619,0.880952381,1,1,0.119047619,0,0,0.75,0.202380952,0.464285714,0,0.05
1,0.568807339,0.8,1,0.749235474,0.816513761,0.981651376,0.449541284,0.217125382,0.360550459,0.1,0.434250765,0.767584098,0.003058104,0.886850153
1,1,1,0.799019608,0.799019608,1,1,0.367647059,0.210784314,0.033333333,0.2,0.049019608,0.274509804,0,0.794117647
0.991666667,1,1,0.625,0.65,1,1,0.583333333,0.483333333,0.283333333,0.1,0.675,0.691666667,0,0.983333333
1,1,0.8,1,0.827102804,1,1,0.672897196,0.476635514,0.452336449,0.224299065,0.85046729,0.953271028,0.088785047,0.841121495
1,1,0.8,1,0.796116505,1,1,0.145631068,1,0,0,0.640776699,1,0.359223301,0.184466019
0.934782609,0.656521739,0.8,1,0.52173913,0.7,0.782608696,0.32173913,0.252173913,0.191304348,0.343478261,0.282608696,0.595652174,0,0.782608696
1,0.681318681,0.8,0.681318681,0.659340659,1,0.681318681,0.098901099,0,0.216483516,0.2,0,0.318681319,0,0.461538462
