s2,s3,s10,s8,s12,s15,s19,s17,s18,s21,s5,s7,s20,s4,s16,s13,s9,s11,s14,s1,s6
0.88603352,0.540223464,0.696089385,0.731843575,0.502793296,0.648044693,0.832402235,0.631284916,0.38547486,0.48603352,0.301675978,0.379888268,0.072625698,0.335195531,0.234636872,0.368715084,0.079888268,0.016759777,0.106145251,0.07,0
0.795683453,1,0.831654676,0.928057554,0.45323741,0.827338129,0.827338129,0.575539568,0.597122302,0.273381295,0.661870504,0.230215827,0.517985612,0.309352518,0.007194245,0.251798561,0.15323741,0.021582734,0,0.01,0
1,0.621678322,0.91048951,0.475524476,0.79020979,0.636363636,0.706293706,0.328671329,0.440559441,0.244755245,0.244755245,0.251748252,0.13986014,0.167832168,0.440559441,0.363636364,0.04965035,0.111888112,0.06993007,0.09,0
1,1,0.816666667,0.816666667,0.883333333,0.816666667,0.625,0.408333333,0.408333333,0.408333333,0.45,0.383333333,0.491666667,0.4,0.133333333,0.141666667,0,0.008333333,0.025,0.06,0
1,1,1,0.612676056,0.704225352,0.514084507,0.626760563,0.176056338,0.492957746,0.070422535,0.542253521,0.267605634,0.394366197,0.098591549,0.352112676,0.302816901,0,0.133802817,0.042253521,0,0
0.940229885,0.633333333,0.767816092,0.66091954,0.528735632,0.781609195,0.683908046,0.545977011,0.442528736,0.431034483,0.356321839,0.212643678,0.040229885,0.293103448,0.41954023,0.373563218,0.165517241,0.057471264,0.183908046,0.09,0
1,0.491082803,0.985987261,0.713375796,0.751592357,0.592356688,0.72611465,0.458598726,0.433121019,0.21656051,0.343949045,0.324840764,0.038216561,0.146496815,0.407643312,0.248407643,0.056687898,0.082802548,0.089171975,0.07,0
0.884848485,1,0.713131313,0.863636364,0.717171717,0.984848485,0.681818182,0.808080808,0.439393939,0.696969697,0.414141414,0.257575758,0.45959596,0.45959596,0.055555556,0.176767677,0.336363636,0.025252525,0,0.05,0
1,0.867073171,0.869512195,0.676829268,0.62195122,0.780487805,0.847560976,0.743902439,0.341463415,0.5,0.323170732,0.420731707,0.25,0.37195122,0.158536585,0.25,0.047560976,0.054878049,0.103658537,0.01,0
0.913513514,0.935135135,0.845945946,0.52027027,0.560810811,0.486486486,0.804054054,0.371621622,0.405405405,0.175675676,0.533783784,0.25,0.297297297,0.25,0.25,0.439189189,0,0.121621622,0.006756757,0.05,0
1,0.696946565,0.945801527,0.641221374,0.832061069,0.683206107,0.858778626,0.522900763,0.454198473,0.301526718,0.270992366,0.259541985,0.125954198,0.179389313,0.503816794,0.209923664,0,0.061068702,0.194656489,0.08,0
1,0.891397849,0.733333333,0.731182796,0.553763441,0.827956989,0.634408602,0.623655914,0.301075269,0.586021505,0.467741935,0.467741935,0.11827957,0.424731183,0.204301075,0.360215054,0.017204301,0.091397849,0.048387097,0.01,0
0.813333333,0.72,0.793333333,0.46,0.606666667,0.62,0.653333333,0.18,0.493333333,0.08,0.36,0.253333333,0.233333333,0.193333333,0.353333333,0.506666667,0.093333333,0.146666667,0.053333333,0.09,0
1,0.716,1,0.768,0.912,0.744,0.88,0.656,0.512,0.304,0.344,0.216,0.4,0.016,0.368,0.096,0.068,0,0.168,0.1,0
0.660606061,1,0.8,0.842424242,0.606060606,0.975757576,0.648484848,0.690909091,0.484848485,0.678787879,0.436363636,0.296969697,0.460606061,0.375757576,0.018181818,0.303030303,0.409090909,0,0,0.08,0
0.874137931,0.748275862,1,0.568965517,0.698275862,0.663793103,0.732758621,0.189655172,0.474137931,0.077586207,0.344827586,0.267241379,0.439655172,0.25,0.267241379,0.370689655,0,0.017241379,0.068965517,0.01,0
0.958823529,1,0.885294118,0.911764706,0.647058824,0.779411765,0.698529412,0.5,0.419117647,0.352941176,0.529411765,0.352941176,0.507352941,0.389705882,0.014705882,0.205882353,0,0.014705882,0,0.04,0
0.727586207,1,0.802298851,0.775862069,0.528735632,0.816091954,0.775862069,0.494252874,0.626436782,0.264367816,0.534482759,0.16091954,0.643678161,0.293103448,0.057471264,0.235632184,0.108045977,0.011494253,0,0.06,0
1,0.720454545,0.917045455,0.670454545,0.744318182,0.602272727,0.619318182,0.380681818,0.261363636,0.340909091,0.443181818,0.335227273,0.272727273,0.232954545,0.392045455,0.409090909,0,0.079545455,0.045454545,0.05,0
1,0.925570776,0.861187215,0.579908676,0.726027397,0.780821918,0.735159817,0.625570776,0.401826484,0.520547945,0.319634703,0.200913242,0.347031963,0.214611872,0.278538813,0.292237443,0.069863014,0.050228311,0.105022831,0.06,0
1,0.684057971,1,0.797101449,0.760869565,0.833333333,0.971014493,0.702898551,0.398550725,0.449275362,0.420289855,0.065217391,0.18115942,0,0.420289855,0,0,0.007246377,0.043478261,0.09,0
0.987677725,0.892417062,0.821800948,0.630331754,0.725118483,0.819905213,0.720379147,0.568720379,0.440758294,0.412322275,0.379146919,0.289099526,0.308056872,0.360189573,0.165876777,0.236966825,0.136018957,0.042654028,0.09478673,0.03,0
1,0.786607143,1,0.575892857,0.651785714,0.71875,0.803571429,0.691964286,0.59375,0.3125,0.325892857,0.165178571,0.321428571,0.15625,0.379464286,0.133928571,0.10625,0.089285714,0.080357143,0.04,0
1,0.609090909,0.896969697,0.763636364,0.666666667,0.727272727,0.848484848,0.612121212,0.339393939,0.4,0.266666667,0.375757576,0.121212121,0.290909091,0.290909091,0.290909091,0.027272727,0.018181818,0.103030303,0.09,0
0.967375887,0.909929078,0.896453901,0.581560284,0.659574468,0.553191489,0.695035461,0.553191489,0.29787234,0.453900709,0.368794326,0.276595745,0.226950355,0.269503546,0.304964539,0.340425532,0,0.028368794,0.021276596,0,0
0.797515528,1,1,0.757763975,0.621118012,0.683229814,0.745341615,0.627329193,0.583850932,0.316770186,0.416149068,0.236024845,0.52173913,0.254658385,0.173913043,0.279503106,0.122360248,0.01242236,0,0.01,0
0.887562189,0.911940299,1,0.646766169,0.616915423,0.766169154,0.855721393,0.721393035,0.47761194,0.422885572,0.228855721,0.263681592,0.472636816,0.154228856,0.129353234,0.144278607,0.053233831,0.024875622,0.024875622,0.02,0
0.88880597,1,0.612686567,0.880597015,0.660447761,0.929104478,0.71641791,0.809701493,0.328358209,0.76119403,0.432835821,0.320895522,0.257462687,0.578358209,0.018656716,0.145522388,0.144029851,0.014925373,0.007462687,0.06,0
1,1,0.822222222,0.811111111,0.672222222,0.627777778,0.555555556,0.516666667,0.122222222,0.483333333,0.394444444,0.566666667,0.311111111,0.422222222,0.083333333,0.327777778,0,0.111111111,0,0.01,0
1,0.38,0.993333333,0.626666667,0.74,0.553333333,0.78,0.44,0.32,0.3,0.14,0.313333333,0.053333333,0.126666667,0.44,0.313333333,0.006666667,0.12,0.126666667,0.03,0
1,1,0.688702929,0.707112971,0.59832636,0.786610879,0.631799163,0.585774059,0.246861925,0.552301255,0.393305439,0.330543933,0.184100418,0.330543933,0.322175732,0.343096234,0.030543933,0.083682008,0.10460251,0.01,0
1,0.474311927,0.929051988,0.556574924,0.633027523,0.593272171,0.648318043,0.498470948,0.406727829,0.391437309,0.23853211,0.247706422,0.085626911,0.171253823,0.437308869,0.363914373,0.054740061,0.125382263,0.116207951,0.02,0
1,1,0.876470588,0.776470588,0.617647059,0.794117647,0.652941176,0.523529412,0.476470588,0.347058824,0.452941176,0.329411765,0.352941176,0.376470588,0.247058824,0.264705882,0.011764706,0.005882353,0.094117647,0.09,0
0.913333333,1,0.986666667,0.94,0.593333333,0.786666667,0.746666667,0.626666667,0.48,0.386666667,0.58,0.34,0.406666667,0.366666667,0.006666667,0.2,0.04,0.02,0,0.09,0
1,1,0.910144928,0.733333333,0.739130435,0.765217391,0.814492754,0.643478261,0.591304348,0.344927536,0.304347826,0.168115942,0.356521739,0.182608696,0.385507246,0.171014493,0.085507246,0.014492754,0.052173913,0,0
1,0.35952381,1,0.595238095,0.732142857,0.636904762,0.851190476,0.44047619,0.44047619,0.345238095,0.172619048,0.166666667,0.083333333,0.166666667,0.476190476,0.339285714,0.122619048,0.113095238,0.130952381,0.08,0
1,1,0.727380952,0.863095238,0.708333333,0.875,0.81547619,0.732142857,0.226190476,0.583333333,0.428571429,0.351190476,0.18452381,0.333333333,0.113095238,0.196428571,0,0.047619048,0,0.05,0
1,1,0.906666667,0.804444444,0.746666667,0.688888889,0.76,0.617777778,0.333333333,0.448888889,0.368888889,0.266666667,0.28,0.235555556,0.133333333,0.217777778,0,0.04,0.017777778,0.07,0
0.84047619,0.835714286,0.828571429,0.803571429,0.488095238,0.619047619,0.654761905,0.541666667,0.351190476,0.363095238,0.452380952,0.333333333,0.303571429,0.392857143,0.136904762,0.505952381,0.182142857,0.071428571,0.011904762,0.05,0
0.950295858,1,1,0.639053254,0.775147929,0.680473373,0.786982249,0.49704142,0.568047337,0.319526627,0.266272189,0.278106509,0.526627219,0.224852071,0.24852071,0.24852071,0,0.053254438,0.047337278,0.07,0
0.851048951,1,0.718181818,0.828671329,0.503496503,0.895104895,0.695804196,0.699300699,0.576923077,0.475524476,0.534965035,0.181818182,0.395104895,0.286713287,0.111888112,0.335664336,0.224475524,0.031468531,0.01048951,0.1,0
1,1,0.748314607,0.848314607,0.808988764,0.960674157,0.657303371,0.640449438,0.353932584,0.679775281,0.488764045,0.258426966,0.303370787,0.45505618,0.185393258,0.213483146,0.17752809,0,0.02247191,0.05,0
0.894680851,1,0.889361702,0.664893617,0.696808511,0.803191489,0.85106383,0.680851064,0.654255319,0.409574468,0.234042553,0.186170213,0.489361702,0.228723404,0.276595745,0.159574468,0.040425532,0.063829787,0.042553191,0.04,0
1,0.636,1,0.6,0.776,0.648,0.856,0.56,0.496,0.224,0.176,0.32,0.328,0.176,0.344,0.288,0,0.016,0.136,0.1,0
1,0.898639456,0.978231293,0.62585034,0.775510204,0.721088435,0.761904762,0.408163265,0.326530612,0.340136054,0.380952381,0.340136054,0.272108844,0.176870748,0.353741497,0.224489796,0,0.088435374,0.081632653,0.03,0
1,0.854945055,1,0.846153846,0.758241758,0.626373626,0.873626374,0.604395604,0.368131868,0.472527473,0.351648352,0.208791209,0.098901099,0.10989011,0.478021978,0.148351648,0,0.021978022,0.104395604,0.04,0
0.811458333,1,0.738541667,0.822916667,0.520833333,0.786458333,0.791666667,0.609375,0.458333333,0.348958333,0.489583333,0.208333333,0.432291667,0.265625,0.088541667,0.307291667,0.085416667,0.026041667,0,0.03,0
1,0.802617801,0.75078534,0.633507853,0.759162304,0.764397906,0.769633508,0.45026178,0.471204188,0.387434555,0.272251309,0.282722513,0.246073298,0.287958115,0.403141361,0.298429319,0.008900524,0.073298429,0.188481675,0.08,0
0.768055556,0.883333333,0.781944444,0.694444444,0.465277778,0.888888889,0.659722222,0.611111111,0.347222222,0.590277778,0.402777778,0.284722222,0.1875,0.430555556,0.152777778,0.423611111,0.283333333,0.020833333,0.048611111,0.02,0
1,1,0.953846154,0.742307692,0.7,0.776923077,0.765384615,0.538461538,0.4,0.346153846,0.438461538,0.280769231,0.426923077,0.211538462,0.084615385,0.196153846,0.015384615,0.030769231,0.019230769,0.1,0
0.875961538,1,0.698076923,0.942307692,0.875,0.942307692,0.788461538,0.706730769,0.475961538,0.653846154,0.201923077,0.221153846,0.538461538,0.451923077,0.048076923,0.105769231,0.243269231,0,0,0.09,0
0.838162544,1,0.65795053,0.932862191,0.681978799,1,0.639575972,0.724381625,0.413427562,0.71024735,0.466431095,0.28975265,0.45229682,0.519434629,0,0.254416961,0.339575972,0,0,0.1,0
1,0.784126984,0.721428571,0.579365079,0.797619048,0.896825397,0.785714286,0.444444444,0.547619048,0.492063492,0.261904762,0.186507937,0.194444444,0.297619048,0.48015873,0.202380952,0.18015873,0.023809524,0.246031746,0.07,0
1,1,1,0.72,0.648,0.768,0.784,0.616,0.336,0.352,0.472,0.488,0.48,0.376,0.04,0.2,0,0.032,0.024,0.02,0
1,0.447058824,0.995588235,0.580882353,0.566176471,0.602941176,0.838235294,0.639705882,0.375,0.463235294,0.132352941,0.264705882,0.066176471,0.25,0.286764706,0.308823529,0.163235294,0.080882353,0.073529412,0.06,0
0.95,0.66,0.76,0.445,0.59,0.58,0.715,0.36,0.51,0.29,0.32,0.26,0.15,0.23,0.385,0.46,0.075,0.16,0.12,0.08,0
1,0.971641791,0.872636816,0.492537313,0.766169154,0.800995025,0.646766169,0.492537313,0.47761194,0.427860697,0.278606965,0.288557214,0.422885572,0.303482587,0.358208955,0.313432836,0.167661692,0.074626866,0.194029851,0.01,0
1,0.716666667,0.933333333,0.566666667,0.9,0.572222222,0.85,0.322222222,0.466666667,0.172222222,0.272222222,0.2,0.188888889,0.011111111,0.627777778,0.133333333,0,0.072222222,0.2,0.07,0
0.841340782,1,0.651396648,0.907821229,0.62849162,0.927374302,0.701117318,0.709497207,0.405027933,0.631284916,0.407821229,0.276536313,0.446927374,0.527932961,0.002793296,0.268156425,0.183240223,0,0,0.03,0
0.848113208,0.833018868,0.885849057,0.617924528,0.537735849,0.58490566,0.660377358,0.528301887,0.344339623,0.33490566,0.367924528,0.363207547,0.339622642,0.386792453,0.075471698,0.448113208,0,0.117924528,0.018867925,0.1,0
0.809836066,1,0.744262295,0.928961749,0.524590164,0.961748634,0.655737705,0.792349727,0.519125683,0.644808743,0.595628415,0.180327869,0.43715847,0.535519126,0.054644809,0.213114754,0.383060109,0,0,0.01,0
0.975268817,1,0.92688172,0.672043011,0.61827957,0.693548387,0.817204301,0.591397849,0.489247312,0.35483871,0.365591398,0.295698925,0.349462366,0.290322581,0.215053763,0.26344086,0.038709677,0.069892473,0.037634409,0.06,0
0.977540107,1,0.843850267,0.705882353,0.598930481,0.77540107,0.705882353,0.577540107,0.401069519,0.352941176,0.481283422,0.256684492,0.310160428,0.197860963,0.053475936,0.347593583,0.052941176,0.080213904,0,0.03,0
0.896815287,0.873248408,0.941401274,0.636942675,0.694267516,0.636942675,0.796178344,0.445859873,0.458598726,0.178343949,0.420382166,0.363057325,0.47133758,0.324840764,0.108280255,0.312101911,0.037579618,0.006369427,0.063694268,0.09,0
0.739506173,1,0.844444444,0.799382716,0.570987654,0.932098765,0.75308642,0.740740741,0.589506173,0.50308642,0.429012346,0.200617284,0.543209877,0.271604938,0.064814815,0.24691358,0.270987654,0,0.012345679,0,0
1,1,0.744155844,0.792207792,0.753246753,0.896103896,0.714285714,0.714285714,0.480519481,0.532467532,0.37012987,0.292207792,0.402597403,0.318181818,0.116883117,0.175324675,0.011688312,0.038961039,0,0.08,0
0.840366972,0.34587156,1,0.697247706,0.669724771,0.834862385,0.788990826,0.385321101,0.47706422,0.339449541,0.330275229,0.330275229,0.174311927,0.055045872,0.137614679,0.330275229,0.296330275,0,0.064220183,0.06,0
0.789473684,0.921052632,1,0.736842105,0.584210526,0.647368421,0.810526316,0.647368421,0.594736842,0.305263158,0.373684211,0.278947368,0.521052632,0.236842105,0.1,0.3,0.089473684,0.005263158,0.031578947,0.05,0
0.806060606,1,1,0.76969697,0.624242424,0.76969697,0.848484848,0.842424242,0.606060606,0.387878788,0.412121212,0.242424242,0.557575758,0.254545455,0.066666667,0.151515152,0.06969697,0,0,0.04,0
0.817475728,1,0.72038835,0.849514563,0.631067961,1,0.718446602,0.82038835,0.446601942,0.572815534,0.514563107,0.22815534,0.393203883,0.441747573,0,0.126213592,0.29223301,0.009708738,0,0.1,0
0.719838057,1,0.651012146,0.955465587,0.647773279,0.967611336,0.647773279,0.761133603,0.522267206,0.643724696,0.5951417,0.255060729,0.392712551,0.55465587,0.004048583,0.182186235,0.400404858,0,0,0,0
0.9,1,0.751351351,0.628378378,0.581081081,0.790540541,0.689189189,0.527027027,0.594594595,0.283783784,0.405405405,0.182432432,0.310810811,0.209459459,0.310810811,0.317567568,0.004054054,0.060810811,0.135135135,0.06,0
